id,name,start_date,end_date,party,partyLabel,constituency,constituencyLabel,election
Q1773015,Freddy de Ruiter,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q3434757,Ingebjørg Godskesen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q4572925,Svein Harberg,2009-10-01,,Q586364,Høyre,,,Q132055
Q4573115,Kjell Ingolf Ropstad,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
Q1772865,Åse Michaelsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q3420281,Kari Henriksen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1771760,Peter Skovholt Gitmark,2009-10-01,,Q586364,Høyre,,,Q132055
Q1771757,Dagrun Eriksen,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
Q1773022,Henning Skumsvoll,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q3434791,Alf Egil Holmelid,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q156540,Anniken Huitfeldt,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1771184,Morten Høglund,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q156553,Jan Tore Sanner,2009-10-01,,Q586364,Høyre,,,Q132055
Q1772869,Sverre Myrli,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1773029,Kari Kjønaas Kjos,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q1771052,Sonja Irene Sjøli,2009-10-01,,Q586364,Høyre,,,Q132055
Q156550,Marianne Aasen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1772903,Hans Frode Asmyhr,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q1772874,Gunvor Eldegard,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1798291,Sylvi Graham,2009-10-01,,Q586364,Høyre,,,Q132055
Q1019331,Bård Vegar Solhjell,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q4566359,Gorm Kjernli,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1773035,Borghild Tenden,2009-10-01,,Q500190,Venstre,,,Q132055
Q5983558,Ib Thomsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q2044640,André Oktay Dahl,2009-10-01,,Q586364,Høyre,,,Q132055
Q1350399,Knut Arild Hareide,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
Q6513908,Martin Kolberg,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6514199,Ulf Erik Knudsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q6981465,Trond Helleland,2009-10-01,,Q586364,Høyre,,,Q132055
Q4560207,Lise Christoffersen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6321658,Jørund Rytman,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q1772947,Torgeir Micaelsen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q4568801,Anders B. Werp,2009-10-01,,Q586364,Høyre,,,Q132055
Q4571572,Laila Gustavsen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1772873,Per Olaf Lundteigen,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q156517,Helga Pedersen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1773269,Jan-Henrik Fredriksen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q3367196,Kåre Simensen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1799837,Ingalill Olsen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1799849,Frank Bakke-Jensen,2009-10-01,,Q586364,Høyre,,,Q132055
Q1343717,Knut Storberget,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q4761757,Anette Trettebergstuen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6515122,Per Roar Bredvold,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q4589982,Thomas Breen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q548001,Trygve Slagsvold Vedum,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q5619018,Gunnar Gundersen,2009-10-01,,Q586364,Høyre,,,Q132055
Q3434947,Tone Sønsterud,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6370820,Karin Andersen,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q291598,Anne-Grete Strøm-Erichsen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q4794675,Arne Sortevik,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q291644,Erna Solberg,2009-10-01,,Q586364,Høyre,,,Q132055
Q6514731,Per Rune Henriksen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1771881,Gjermund Hagesæter,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q6515779,Øyvind Halleraker,2009-10-01,,Q586364,Høyre,,,Q132055
Q5761540,Hilde M. Lydvo,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q446337,Laila Dåvøy,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
Q6370919,Karin S. Woldseth,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q5208428,Dag Ole Teigen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q4574214,Henning Warloe,2009-10-01,,Q586364,Høyre,,,Q132055
Q3432015,Kjersti Toppe,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q204370,Audun Lysbakken,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q6516101,Magne Rommetveit,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6473886,Laila Reiertsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q3434929,Else-May Botten,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q5654004,Harald T. Nesvik,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q5361543,Elisabeth Røbekk Nørve,2009-10-01,,Q586364,Høyre,,,Q132055
Q4589954,Svein Gjelseth,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q3433165,Oskar Grimstad,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q4568404,Tove-Lise Torve,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q3367245,Jenny Klinge,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q3432890,Rigmor Andersen Eide,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
Q3434673,Mette Hanekamhaug,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q7825227,Tor-Arne Strøm,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q3422596,Kenneth Svendsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q6514450,Anna-Kristin Ljunggren,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6515073,Ivar Kristiansen,2009-10-01,,Q586364,Høyre,,,Q132055
Q1770997,Jan Arild Ellingsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q4580733,Eirik Sivertsen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q4571061,Janne Sjelmo Nordås,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q3434741,Lillian Hansen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q5530166,Geir-Ketil Hansen,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q3433230,Torgeir Trældal,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q4559160,Torstein Rudihagen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q462499,Rigmor Aasrud,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6914562,Morten Ø. Johansen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q6515181,Tore Hagebakken,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q3432049,Anne T. Wøien,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q6514130,Olemic Thommessen,2009-10-01,,Q586364,Høyre,,,Q132055
Q3432182,Aksel Hagen,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q57665,Jens Stoltenberg,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1082481,Per-Kristian Foss,2009-10-01,,Q586364,Høyre,,,Q132055
Q272938,Siv Jensen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q6514424,Marit Nybakk,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q236621,Kristin Halvorsen,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q1770992,Ine Marie Eriksen Søreide,2009-10-01,,Q586364,Høyre,,,Q132055
Q6148666,Jan Bøhler,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q5110219,Christian Tybring-Gjedde,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q467948,Jonas Gahr Støre,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q3356825,Trine Skei Grande,2009-10-01,,Q500190,Venstre,,,Q132055
Q1770173,Michael Tetzschner,2009-10-01,,Q586364,Høyre,,,Q132055
Q6514985,Marianne Marthinsen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q4584582,Peter N. Myhre,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q4209561,Heikki Holmås,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q464941,Hadia Tajik,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q4569595,Nikolai Astrup (politiker),2009-10-01,,Q586364,Høyre,,,Q132055
Q5650579,Hans Olav Syversen,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
Q6395414,Ketil Solvik-Olsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q6514575,Tore Nordtun,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q457128,Bent Høie,2009-10-01,,Q586364,Høyre,,,Q132055
Q6980426,Solveig Horne,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q5349869,Eirin Kristin Sund,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q553839,Dagfinn Høybråten,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
Q6514262,Siri A. Meling,2009-10-01,,Q586364,Høyre,,,Q132055
Q1770867,Øyvind Vaksdal,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q3422974,Torfinn Opheim,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q462543,Magnhild Meltveit Kleppa,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q3434378,Arve Kambe,2009-10-01,,Q586364,Høyre,,,Q132055
Q3433242,Bente Thorsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q3787483,Hallgeir Langeland,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q6515401,Ingrid Heggø,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q291655,Liv Signe Navarsete,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q6515205,Åge Starheim,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q3435862,Tor Bremer,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q4568928,Bjørn Lødemel,2009-10-01,,Q586364,Høyre,,,Q132055
Q1772899,Terje Lien Aasland,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q5004945,Bård Hoksrud,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q5618912,Gunn Olsen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q329487,Torbjørn Røe Isaksen,2009-10-01,,Q586364,Høyre,,,Q132055
Q6514492,Sigvald Oppebøen Hansen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q3433134,Geir Bekkevold,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
Q1773236,Bendiks H. Arnesen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q217556,Øyvind Korsberg,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q4768622,Anne Marit Bjørnflaten,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q282077,Elisabeth Aspaker,2009-10-01,,Q586364,Høyre,,,Q132055
Q282089,Per-Willy Amundsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q282082,Tove Karoline Knutsen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q3420320,Irene Lange Nordahl,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q5550451,Gerd Janne Kristoffersen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q4591112,Arild Stokkan-Grande,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6515236,Robert Eriksson,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q1400368,Lars Peder Brekk,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q3436691,Susanne Bratli,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6491647,Lars Myraune,2009-10-01,,Q586364,Høyre,,,Q132055
Q527177,Trond Giske,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q935613,Per Sandberg,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q5618906,Gunn Karin Gjul,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6514654,Linda Hofstad Helleland,2009-10-01,,Q586364,Høyre,,,Q132055
Q6279004,Jorodd Asphjell,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6513865,Tord Lien,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q5415094,Eva Kristin Hansen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q981680,Snorre Valen,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q728444,Ola Borten Moe,2009-10-01,,Q493685,Senterpartiet,,,Q132055
Q4566912,Øyvind Håbrekke,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
Q1157171,Dag Terje Andersen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1772964,Anders Anundsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q6514988,Svein Flåtten,2009-10-01,,Q586364,Høyre,,,Q132055
Q6515138,Sonja Mandt,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q3422581,Per Arne Olsen,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q6514510,Steinar Gullvåg,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1770339,Inga Marte Thorkildsen,2009-10-01,,Q488418,Sosialistisk Venstreparti,,,Q132055
Q6513933,Svein Roald Hansen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q6513706,Ulf Isak Leirstein,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q6069095,Irene Johansen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q1770438,Ingjerd Schou,2009-10-01,,Q586364,Høyre,,,Q132055
Q6271004,Jon Jæger Gåsvatn,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q3440633,Thor Erik Forsberg,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q3434871,Wenche Olsen,2009-10-01,,Q190219,Arbeiderpartiet,,,Q132055
Q3420374,Vigdis Giltun,2009-10-01,,Q485665,Fremskrittspartiet,,,Q132055
Q6513663,Line Henriette Hjemdal,2009-10-01,,Q1166025,Kristelig Folkeparti,,,Q132055
